RRD262-2018_DW_Gate Review Checklist_COM_fortlaufend,X:/RRD262-2018_DW_Gate Review Checklist_COM_fortlaufend,2025-05-26 10:20,26,133,1,0.05
RRD080-2022_OU_BAM,X:/RRD080-2022_OU_BAM,2025-05-26 10:20,16,328,0,0.11
RRD203-2019_DW_PSTA_Nachlieferungen,X:/RRD203-2019_DW_PSTA_Nachlieferungen,2025-05-26 10:20,30,421,0,0.15
RRD013-2022_OU_Arbeitspläne,X:/RRD013-2022_OU_Arbeitspläne,2025-05-26 10:19,38,460,0,0.16
RRD027-2022_DW_Messprotokolle,X:/RRD027-2022_DW_Messprotokolle,2025-05-26 10:19,126,890,0,0.31
RRD221-2018_OU_WAP-Havarielisten,X:/RRD221-2018_OU_WAP-Havarielisten,2025-05-26 10:20,413,902,0,0.31
RRD058-2021_OU_Nacharbeitspläne,X:/RRD058-2021_OU_Nacharbeitspläne,2025-05-26 10:20,130,1160,0,0.40
RRD120-2021_OU_Skizzenpläne,X:/RRD120-2021_OU_Skizzenpläne,2025-05-26 10:20,347,1169,0,0.40
RRD116-2021_OU_Setlisten,X:/RRD116-2021_OU_Setlisten,2025-05-26 10:20,555,1440,0,0.50
RRD202-2018_DW_Archivvereinbarungen,X:/RRD202-2018_DW_Archivvereinbarungen,2025-05-26 10:20,343,1828,0,0.63
RRD089-2024_OU_Badanalysen,X:/RRD089-2024_OU_Badanalysen,2025-05-26 10:20,240,1909,0,0.66
RRD004-2023_OU_Verlagerungsanträge,X:/RRD004-2023_OU_Verlagerungsanträge,2025-05-26 10:19,33,2004,1,0.69
RRD105-2021_OU_Serialnummernlisten eines DP,X:/RRD105-2021_OU_Serialnummernlisten eines DP,2025-05-26 10:20,294,2159,0,0.74
RRD018-2025_OU_(PILS),X:/RRD018-2025_OU_(PILS),2025-05-26 10:19,1762,3552,0,1.22
RRD260-2018_DW_Feldrequest,X:/RRD260-2018_DW_Feldrequest,2025-05-26 10:20,157,5138,0,1.77
RRD115-2021_OU_Prüfpläne,X:/RRD115-2021_OU_Prüfpläne,2025-05-26 10:20,671,2321,0,0.80
RRD106-2024_OU_Prüferakte,X:/RRD106-2024_OU_Prüferakte,2025-05-26 10:20,333,2816,0,0.97
RRD077-2021_OU_Abschlussberichte,X:/RRD077-2021_OU_Abschlussberichte,2025-05-26 10:20,104,4394,0,1.52
RRD036-2025_OU_Anweisungs-und Einstellbl._Datenkarten_Technical Instruct._PAs,X:/RRD036-2025_OU_Anweisungs-undEinstellbl._Datenkarten_Technical Instruct._PAs,2025-05-26 10:19,647,7168,0,2.47
RRD037-2025_OU_R&O-Dokumente,X:/RRD037-2025_OU_R&O-Dokumente,2025-05-26 10:19,1089,10758,0,3.71

Directory,Path,Date,Files,Pages,Oversize,Rolls
----------------- PROCESSING -----------------
RRD007-2022_DW_TAD (200000013 - 38 left),X:/RRD007-2022_DW_TAD,2025-05-26 10:19,267,14357,0,4.95

----------------- STANDARD -----------------
RRD093-2023_OU_Sonderuntersuchungen,X:/RRD093-2023_OU_Sonderuntersuchungen,2025-05-26 10:20,1267,27754,0,9.57
RRD039-2021_DW_OLN digital,X:/RRD039-2021_DW_OLN digital,2025-05-26 10:19,319,34519,0,11.90
RRD090-2024_OU_Triebwerksmontagebauakten,X:/RRD090-2024_OU_Triebwerksmontagebauakten,2025-05-26 10:20,1179,67068,0,23.13
RRD048-2025_OU_Technische_Handbücher,X:/RRD048-2025_OU_Technische_Handbücher,2025-05-26 10:20,202,109375,0,37.72

----------------- HYBRID -----------------
RRD094-2021_DW_FAIR,X:/RRD094-2021_DW_FAIR,2025-05-26 10:20,167,7269,195,2.51
RRD089-2022_OU_Änderungswesen,X:/RRD089-2022_OU_Änderungswesen,2025-05-26 10:20,433,7775,58,2.68
RRD017-2024_OU_FAIR,X:/RRD017-2024_OU_FAIR,2025-05-26 10:19,201,10943,6,3.77
RRD073-2021_OU_CAPP-MES,X:/RRD073-2021_OU_CAPP-MES,2025-05-26 10:20,1035,11550,1,3.98
RRD015-2024_OU_FPA-FPD-MVA,X:/RRD015-2024_OU_FPA-FPD-MVA,2025-05-26 10:19,224,15765,165,5.44
RRD016-2024_OU_NC-Programme,X:/RRD016-2024_OU_NC-Programme,2025-05-26 10:19,691,41961,16,14.47



