Directory,Path,Date,Files,Pages,Oversize,Rolls
xRRD080-2022_OU_BAM,X:/RRD080-2022_OU_BAM,2025-05-21 12:22,16,328,0,0.11
xRRD203-2019_DW_PSTA_Nachlieferungen,X:/RRD203-2019_DW_PSTA_Nachlieferungen,2025-05-21 12:05,30,421,0,0.15
xRRD013-2022_OU_Arbeitspl�ne,X:/RRD013-2022_OU_Arbeitspl�ne,2025-05-21 12:19,38,460,0,0.16
xRRD027-2022_DW_Messprotokolle,X:/RRD027-2022_DW_Messprotokolle,2025-05-21 12:20,126,890,0,0.31
RRD221-2018_OU_WAP-Havarielisten,X:/RRD221-2018_OU_WAP-Havarielisten,2025-05-21 12:05,413,902,0,0.31
RRD058-2021_OU_Nacharbeitspl�ne,X:/RRD058-2021_OU_Nacharbeitspl�ne,2025-05-21 12:21,130,1160,0,0.40
RRD116-2021_OU_Setlisten,X:/RRD116-2021_OU_Setlisten,2025-05-21 12:24,555,1440,0,0.50
RRD202-2018_DW_Archivvereinbarungen,X:/RRD202-2018_DW_Archivvereinbarungen,2025-05-21 12:06,343,1828,0,0.63
RRD089-2024_OU_Badanalysen,X:/RRD089-2024_OU_Badanalysen,2025-05-21 12:22,240,1909,0,0.66
RRD105-2021_OU_Serialnummernlisten eines DP,X:/RRD105-2021_OU_Serialnummernlisten eines DP,2025-05-21 12:24,294,2159,0,0.74
RRD018-2025_OU_(PILS),X:/RRD018-2025_OU_(PILS),2025-05-21 12:20,1762,3552,0,1.22
RRD260-2018_DW_Feldrequest,X:/RRD260-2018_DW_Feldrequest,2025-05-21 12:05,157,5138,0,1.77
RRD007-2022_DW_TAD,X:/RRD007-2022_DW_TAD,2025-05-21 12:19,267,14357,0,4.95
RRD093-2023_OU_Sonderuntersuchungen,X:/RRD093-2023_OU_Sonderuntersuchungen,2025-05-21 12:24,1267,27754,0,9.57
RRD262-2018_DW_Gate Review Checklist_COM_fortlaufend,X:/RRD262-2018_DW_Gate Review Checklist_COM_fortlaufend,2025-05-21 12:04,26,133,1,0.05
RRD120-2021_OU_Skizzenpl�ne,X:/RRD120-2021_OU_Skizzenpl�ne,2025-05-21 12:24,347,1169,1,0.40
RRD004-2023_OU_Verlagerungsantr�ge,X:/RRD004-2023_OU_Verlagerungsantr�ge,2025-05-21 12:18,33,2004,9,0.69
RRD115-2021_OU_Pr�fpl�ne,X:/RRD115-2021_OU_Pr�fpl�ne,2025-05-21 12:24,671,2321,602,0.80
RRD106-2024_OU_Pr�ferakte,X:/RRD106-2024_OU_Pr�ferakte,2025-05-21 12:24,333,2816,6,0.97
RRD077-2021_OU_Abschlussberichte,X:/RRD077-2021_OU_Abschlussberichte,2025-05-21 12:22,104,4394,6,1.52
RRD003-2025_OU_R&O WAP,X:/RRD003-2025_OU_R&O WAP,2025-05-21 12:18,343,6930,120,2.39
RRD036-2025_OU_Anweisungs-undEinstellbl._Datenkarten_Technical Instruct._PAs,X:/RRD036-2025_OU_Anweisungs-undEinstellbl._Datenkarten_Technical Instruct._PAs,2025-05-21 12:20,647,7168,81,2.47
RRD094-2021_DW_FAIR,X:/RRD094-2021_DW_FAIR,2025-05-21 12:24,167,7269,420,2.51
RRD089-2022_OU_�nderungswesen,X:/RRD089-2022_OU_�nderungswesen,2025-05-21 12:22,433,7775,146,2.68
RRD037-2025_OU_R&O-Dokumente,X:/RRD037-2025_OU_R&O-Dokumente,2025-05-21 12:20,1089,10758,27,3.71
RRD017-2024_OU_FAIR,X:/RRD017-2024_OU_FAIR,2025-05-21 12:20,204,10946,1360,3.77
RRD073-2021_OU_CAPP-MES,X:/RRD073-2021_OU_CAPP-MES,2025-05-21 12:22,1035,11550,2,3.98
RRD015-2024_OU_FPA-FPD-MVA,X:/RRD015-2024_OU_FPA-FPD-MVA,2025-05-21 12:19,224,15765,377,5.44
RRD014-2025_OU_Lebenslaufakten,X:/RRD014-2025_OU_Lebenslaufakten,2025-05-21 12:19,339,18796,301,6.48
RRD039-2021_DW_OLN digital,X:/RRD039-2021_DW_OLN digital,2025-05-21 12:20,319,34519,1549,11.90
RRD016-2024_OU_NC-Programme,X:/RRD016-2024_OU_NC-Programme,2025-05-21 12:19,691,41961,46,14.47
RRD090-2024_OU_Triebwerksmontagebauakten,X:/RRD090-2024_OU_Triebwerksmontagebauakten,2025-05-21 12:22,1179,67068,4,23.13
RRD048-2025_OU_Technische_Handb�cher,X:/RRD048-2025_OU_Technische_Handb�cher,2025-05-21 12:21,202,109375,693,37.72

TOTALS,,,14024,425015,5751,146.56
